iter	Passed	Remaining
0	1	335
1	2	275
2	4	273
3	4	241
4	6	250
5	7	246
6	9	248
7	10	243
8	11	240
9	12	237
10	13	234
11	14	233
12	16	232
13	17	230
14	18	228
15	19	226
16	20	223
17	22	221
18	23	221
19	24	219
20	25	216
21	26	215
22	28	216
23	29	214
24	30	213
25	31	211
26	32	209
27	33	207
28	35	206
29	36	204
30	37	202
31	38	201
32	39	200
33	40	198
34	42	197
35	43	195
36	44	194
37	45	192
38	46	191
39	47	189
40	48	188
41	50	187
42	51	185
43	52	183
44	53	182
45	54	181
46	55	180
47	56	178
48	57	177
49	59	175
50	60	174
51	61	173
52	62	172
53	63	171
54	64	169
55	66	168
56	67	167
57	68	166
58	69	165
59	70	164
60	72	163
61	73	162
62	74	161
63	75	159
64	77	158
65	78	157
66	79	156
67	80	155
68	81	154
69	83	153
70	84	152
71	85	151
72	86	150
73	88	148
74	89	147
75	90	146
76	92	145
77	93	144
78	94	143
79	95	142
80	97	141
81	99	141
82	101	141
83	102	139
84	103	138
85	104	137
86	106	137
87	107	136
88	109	135
89	110	134
90	112	133
91	115	133
92	116	133
93	118	131
94	119	130
95	121	130
96	123	130
97	125	129
98	126	127
99	127	126
100	129	125
101	130	123
102	131	122
103	132	121
104	133	119
105	135	118
106	136	117
107	137	116
108	139	114
109	140	113
110	141	112
111	142	111
112	144	109
113	145	108
114	146	106
115	147	105
116	148	104
117	149	102
118	151	101
119	152	100
120	154	99
121	155	98
122	156	96
123	158	95
124	159	94
125	160	93
126	162	91
127	163	90
128	165	89
129	166	88
130	167	86
131	169	85
132	170	84
133	171	83
134	173	82
135	175	81
136	176	79
137	177	78
138	178	77
139	179	75
140	181	74
141	182	73
142	183	71
143	184	70
144	186	69
145	187	67
146	188	66
147	189	65
148	190	64
149	192	62
150	193	61
151	195	60
152	196	59
153	197	57
154	198	56
155	200	55
156	202	54
157	203	52
158	204	51
159	206	50
160	207	48
161	208	47
162	209	46
163	211	45
164	212	43
165	214	42
166	216	41
167	217	40
168	218	38
169	219	37
170	221	36
171	222	34
172	223	33
173	224	32
174	225	30
175	227	29
176	228	28
177	230	27
178	231	25
179	233	24
180	234	23
181	235	21
182	236	20
183	237	19
184	238	18
185	239	16
186	241	15
187	242	14
188	243	12
189	244	11
190	245	10
191	247	9
192	248	7
193	249	6
194	250	5
195	251	3
196	252	2
197	254	1
198	255	0
